Seq,PassOrFail,Injection_Time,Filling_Time,Plasticizing_Time,Plasticizing_Position,Max_Injection_Speed,Max_Screw_RPM,Max_Switch_Over_Pressure,Max_Back_Pressure,Hopper_Temperature
5704,0,9.579999924,4.46999979,16.60000038,68.34999847,55.09999847,30.70000076,136.3999939,38.29999924,66.19999695
2568,0,9.600000381,4.489999771,16.87000084,68.58999634,55.40000153,30.60000038,136.6999969,37.70000076,66.40000153
3633,0,9.529999733,4.409999847,16.79999924,68.23999786,55.70000076,30.60000038,136.5,37.70000076,66.30000305
4263,0,9.609999657,4.489999771,16.80999947,68.58000183,55.29999924,30.60000038,136.8999939,37.70000076,67.19999695
1613,1,10.82999992,5.71999979,16.81999969,68.58000183,45.40000153,31.10000038,142.6999969,71.90000153,63.79999924
3638,0,9.56000042,4.449999809,17.04000092,68.48000336,55.90000153,30.70000076,136.6999969,38.59999847,69.90000153
4141,1,1.059999943,0.93503826,12.96519096,53.5749625,128.3000031,30.84961685,116.3000031,55.90076477,65.95190982
830,1,9.442588301,4.329999924,16.9225888,68.85482218,60.82588644,30.75177369,136.9741118,36.44822658,67
2705,0,9.510000229,4.389999866,16.79999924,68.26000214,56,30.70000076,135.8999939,37.59999847,66
3322,0,9.590000153,4.46999979,16.90999985,68.5,55.20000076,30.70000076,137.1000061,38.09999847,68.5
4923,0,9.609999657,4.489999771,16.59000015,68.33000183,54.79999924,30.60000038,137,38.40000153,66
3655,0,9.600000381,4.480000019,16.90999985,68.59999847,55.40000153,30.70000076,136.6999969,38,67.40000153
2938,1,1.059999943,0.939999998,12.89999962,53.59000015,128.1000061,30.89999962,116.4000015,56.09999847,64.59999847
3862,0,9.579999924,4.46999979,16.92000008,68.83999634,55.5,30.70000076,136.8000031,37.09999847,67.80000305
4942,1,9.569296365,4.449296002,16.92309882,68.83999634,55.70703919,30.66901388,136.2549399,37.18592009,67.43802743
3995,0,9.609999657,4.489999771,16.82999992,68.58000183,55.29999924,30.5,136.8000031,37.79999924,65.90000153
195,0,1.059999943,0.930000007,12.90999985,53.56000137,128.3000031,30.89999962,116.1999969,56.09999847,66.5
2660,1,13.31646663,8.19646674,16.65386983,68.58999634,38.75543278,30.78838868,146.6032421,38.31672945,64.39613139
2192,0,9.520000458,4.400000095,16.79000092,68.25,55.90000153,30.70000076,136.1000061,37.70000076,67
6118,0,9.579999924,4.460000038,16.88999939,68.48999786,55.20000076,30.79999924,136.6000061,37.79999924,68.19999695
2732,1,13.39000034,8.270000458,16.64999962,68.58999634,38.5,30.79999924,146.6999969,38.09999847,64.40000153
1415,1,10.82999992,5.71999979,16.81999969,68.58000183,45.40000153,31.10000038,142.6999969,71.90000153,63.79999924
2823,0,9.510000229,4.389999866,16.81999969,68.26000214,56,30.70000076,135.8999939,37.29999924,67.40000153
6475,0,9.5,4.380000114,16.80999947,68.26000214,56.20000076,30.60000038,135.8000031,37.29999924,67.59999847
3864,1,13.39000034,8.270000458,16.64999962,68.58999634,38.5,30.79999924,146.6999969,38.09999847,64.40000153
4068,1,1.059999943,0.936741035,12.93977711,53.56325979,128.3000031,30.89999962,116.1348186,55.86741113,65.93928122
1987,0,9.609999657,4.489999771,16.80999947,68.59999847,55.40000153,30.70000076,136.8999939,37.79999924,65.40000153
4175,0,9.56000042,4.449999809,16.93000031,68.51000214,55.40000153,30.5,136.8999939,38,68.5
5725,0,9.619999886,4.5,16.79999924,68.58000183,55.29999924,30.60000038,136.8999939,38.09999847,66
6163,1,1.080000043,0.949999988,13.1617387,53.61173913,127.1173864,30.81738745,119.0826106,57.73477719,64.44350555
2674,0,9.520000458,4.400000095,16.80999947,68.25,55.90000153,30.60000038,136.1999969,37.70000076,68.5
4839,0,9.579999924,4.46999979,16.87999916,68.58000183,55.5,30.60000038,136.6999969,37.59999847,67.59999847
2729,0,9.520000458,4.409999847,16.79000092,68.23999786,55.90000153,30.39999962,136.5,37.70000076,67.59999847
491,1,10.82999992,5.71999979,16.81999969,68.58000183,45.40000153,31.10000038,142.6999969,71.90000153,63.79999924
3629,1,13.39000034,8.270000458,16.64999962,68.58999634,38.5,30.79999924,146.6999969,38.09999847,64.40000153
4490,0,9.529999733,4.409999847,16.86000061,68.26999664,55.79999924,30.5,136.3000031,37.59999847,67
1734,0,9.529999733,4.420000076,16.85000038,68.25,55.79999924,30.5,136.3000031,37.70000076,67.19999695
3124,0,9.619999886,4.510000229,16.79999924,68.58999634,55.20000076,30.5,136.8000031,38.20000076,66.5
5222,1,1.059999943,0.939999998,12.921108,53.59222286,128.1555361,30.89999962,116.4111569,55.86669139,65.01115539
879,1,1.059999943,0.934501831,12.94900344,53.58000183,128.1649468,30.85498116,116.4350558,56.11512757,65.15977891
7481,0,9.539999962,4.429999828,17.06999969,68.48000336,56.09999847,30.79999924,136.5,38.09999847,68.59999847
1193,0,9.529999733,4.420000076,16.95999908,68.48999786,56.20000076,30.70000076,136.1000061,38.29999924,66.69999695
6113,1,9.595613593,4.475613231,16.92438686,68.83999634,55.38773333,30.71226598,136.7122706,37.54386621,67.01933745
6133,1,10.24079284,5.130793042,16.61897688,68.60079652,48.17273948,30.82272685,140.1352165,57.13516982,64.63182115
2598,0,9.5,4.389999866,16.78000069,68.26000214,56.09999847,30.70000076,135.6000061,36.90000153,66.30000305
1326,1,1.059999943,0.939999998,12.88996973,53.59000015,128.1332859,30.89999962,116.5001515,56.40045473,65.03343382
917,0,9.569999695,4.460000038,16.92000008,68.58000183,55.79999924,30.70000076,136.3000031,37.5,67.09999847
3102,0,9.590000153,4.46999979,16.93000031,68.83999634,55.5,30.70000076,136.6000061,37.09999847,67.59999847
3286,0,9.609999657,4.5,16.80999947,68.58999634,55.40000153,30.70000076,136.6999969,37.79999924,65.5
4513,1,1.080000043,0.949999988,13.15665944,53.61334038,127.0999985,30.83340265,119.0999985,57.76680759,64.63340125
2122,0,9.550000191,4.440000057,17,68.48999786,55.90000153,30.70000076,136.3999939,38.29999924,67.40000153
7183,1,9.699999809,4.579999924,16.46999931,68.58999634,53.29999924,30.5,137.3999939,38.59999847,64.5
3194,0,9.609999657,4.5,16.77000046,68.58999634,55.20000076,30.60000038,136.8000031,37.70000076,65.59999847
5134,0,9.590000153,4.480000019,16.79999924,68.58999634,55.5,30.60000038,136.3999939,37.79999924,65.69999695
694,1,11.48999977,6.369999886,16.75,68.58999634,45.09999847,30.5,144.1999969,43.70000076,64.30000305
2417,0,9.56000042,4.440000057,16.97999954,68.48999786,55.5,30.60000038,136.6000061,37.5,69.30000305
1932,0,9.590000153,4.46999979,16.54999924,68.36000061,55,31,136.5,38.09999847,65.09999847
1904,0,9.529999733,4.420000076,16.85000038,68.25,55.79999924,30.5,136.3999939,37.59999847,67.59999847
3266,0,1.059999943,0.930000007,12.89999962,53.56999969,128.3000031,30.79999924,115.9000015,55.79999924,66.30000305
7647,0,9.520000458,4.409999847,16.81999969,68.26000214,55.79999924,30.5,136.1999969,37.70000076,67
1424,1,1.070000052,0.944188845,13.13418906,53.61256611,127.3162226,30.84188791,118.741888,57.62566521,63.06077306
2176,1,1.059999943,0.939999998,12.94199085,53.58450338,128,30.84502243,116.6450208,56.45497766,63.91470104
6789,0,9.430000305,4.320000172,19.02000046,68.34999847,58.79999924,31,134.6000061,38,69.5
4130,1,1.059999943,0.933188898,12.95043344,53.58043386,128.3000031,30.83188829,116.0637769,55.96811155,66.0637769
